freq_hz,diff_nette_dB
1721.191,-0.0708
1722.656,-0.0707
1724.121,-0.0707
1725.586,-0.0706
1727.051,-0.0705
1728.516,-0.0705
1729.980,-0.0703
1731.445,-0.0702
1732.910,-0.0700
1734.375,-0.0702
1735.840,-0.0702
1737.305,-0.0703
1738.770,-0.0701
1740.234,-0.0701
1741.699,-0.0703
1743.164,-0.0703
1744.629,-0.0704
1746.094,-0.0704
1747.559,-0.0704
1749.023,-0.0706
1750.488,-0.0707
1751.953,-0.0709
1753.418,-0.0712
1754.883,-0.0714
1756.348,-0.0715
1757.812,-0.0717
1759.277,-0.0719
1760.742,-0.0722
1762.207,-0.0724
1763.672,-0.0727
1765.137,-0.0730
1766.602,-0.0734
1768.066,-0.0736
1769.531,-0.0739
1770.996,-0.0742
1772.461,-0.0743
1773.926,-0.0746
1775.391,-0.0748
1776.855,-0.0751
1778.320,-0.0753
1779.785,-0.0754
1781.250,-0.0756
1782.715,-0.0758
1784.180,-0.0759
1785.645,-0.0760
1787.109,-0.0760
1788.574,-0.0761
1790.039,-0.0762
1791.504,-0.0761
1792.969,-0.0762
1794.434,-0.0762
1795.898,-0.0762
1797.363,-0.0760
1798.828,-0.0761
1800.293,-0.0760
1801.758,-0.0760
1803.223,-0.0759
1804.688,-0.0758
1806.152,-0.0757
1807.617,-0.0756
1809.082,-0.0755
1810.547,-0.0755
1812.012,-0.0754
1813.477,-0.0753
1814.941,-0.0751
1816.406,-0.0749
1817.871,-0.0748
1819.336,-0.0747
1820.801,-0.0746
1822.266,-0.0745
1823.730,-0.0744
1825.195,-0.0742
1826.660,-0.0741
1828.125,-0.0740
1829.590,-0.0739
1831.055,-0.0737
1832.520,-0.0737
1833.984,-0.0735
1835.449,-0.0734
1836.914,-0.0732
1838.379,-0.0731
1839.844,-0.0730
1841.309,-0.0728
1842.773,-0.0726
1844.238,-0.0725
1845.703,-0.0723
1847.168,-0.0722
1848.633,-0.0721
1850.098,-0.0720
1851.562,-0.0719
1853.027,-0.0717
1854.492,-0.0715
1855.957,-0.0714
1857.422,-0.0713
1858.887,-0.0711
1860.352,-0.0710
1861.816,-0.0709
1863.281,-0.0708
1864.746,-0.0707
1866.211,-0.0707
1867.676,-0.0705
1869.141,-0.0704
1870.605,-0.0703
1872.070,-0.0702
1873.535,-0.0701
1875.000,-0.0700
1876.465,-0.0700
1877.930,-0.0699
1879.395,-0.0699
1880.859,-0.0699
1882.324,-0.0698
1883.789,-0.0698
1885.254,-0.0699
1886.719,-0.0698
1888.184,-0.0698
1889.648,-0.0698
1891.113,-0.0698
1892.578,-0.0699
1894.043,-0.0700
1895.508,-0.0701
1896.973,-0.0703
1898.438,-0.0704
1899.902,-0.0706
1901.367,-0.0708
1902.832,-0.0709
1904.297,-0.0711
1905.762,-0.0712
1907.227,-0.0714
1908.691,-0.0717
1910.156,-0.0719
1911.621,-0.0723
1913.086,-0.0724
1914.551,-0.0725
1916.016,-0.0729
1917.480,-0.0732
1918.945,-0.0733
1920.410,-0.0736
1921.875,-0.0737
1923.340,-0.0741
1924.805,-0.0744
1926.270,-0.0746
1927.734,-0.0748
1929.199,-0.0749
1930.664,-0.0751
1932.129,-0.0752
1933.594,-0.0753
1935.059,-0.0755
1936.523,-0.0756
1937.988,-0.0758
1939.453,-0.0758
1940.918,-0.0759
1942.383,-0.0759
1943.848,-0.0761
1945.312,-0.0761
1946.777,-0.0761
1948.242,-0.0762
1949.707,-0.0761
1951.172,-0.0761
1952.637,-0.0761
1954.102,-0.0761
1955.566,-0.0760
1957.031,-0.0760
