freq_hz,gain_dB,coherence
1199.707,-10.7093,1.0000
1201.172,-10.7107,1.0000
1202.637,-10.7121,1.0000
1204.102,-10.7137,1.0000
1205.566,-10.7154,1.0000
1207.031,-10.7172,1.0000
1208.496,-10.7191,1.0000
1209.961,-10.7211,1.0000
1211.426,-10.7231,1.0000
1212.891,-10.7251,1.0000
1214.355,-10.7272,1.0000
1215.820,-10.7293,1.0000
1217.285,-10.7315,1.0000
1218.750,-10.7335,1.0000
1220.215,-10.7356,1.0000
1221.680,-10.7377,1.0000
1223.145,-10.7397,1.0000
1224.609,-10.7417,1.0000
1226.074,-10.7437,1.0000
1227.539,-10.7457,1.0000
1229.004,-10.7476,1.0000
1230.469,-10.7495,1.0000
1231.934,-10.7514,1.0000
1233.398,-10.7533,1.0000
1234.863,-10.7551,1.0000
1236.328,-10.7568,1.0000
1237.793,-10.7585,1.0000
1239.258,-10.7601,1.0000
1240.723,-10.7616,1.0000
1242.188,-10.7630,1.0000
1243.652,-10.7642,1.0000
1245.117,-10.7654,1.0000
1246.582,-10.7665,1.0000
1248.047,-10.7673,1.0000
1249.512,-10.7680,1.0000
1250.977,-10.7684,1.0000
1252.441,-10.7685,1.0000
1253.906,-10.7684,1.0000
1255.371,-10.7679,1.0000
1256.836,-10.7674,0.9999
1258.301,-10.7663,0.9999
1259.766,-10.7648,0.9999
1261.230,-10.7630,0.9999
1262.695,-10.7608,0.9999
1264.160,-10.7582,0.9999
1265.625,-10.7554,0.9999
1267.090,-10.7522,0.9999
1268.555,-10.7486,0.9999
1270.020,-10.7450,0.9999
1271.484,-10.7414,0.9999
1272.949,-10.7374,0.9999
1274.414,-10.7333,0.9999
1275.879,-10.7297,0.9999
1277.344,-10.7261,0.9999
1278.809,-10.7227,0.9999
1280.273,-10.7194,0.9999
1281.738,-10.7166,0.9999
1283.203,-10.7142,0.9999
1284.668,-10.7120,0.9999
1286.133,-10.7104,0.9999
1287.598,-10.7090,0.9999
1289.062,-10.7078,0.9999
1290.527,-10.7072,1.0000
1291.992,-10.7070,1.0000
1293.457,-10.7069,1.0000
1294.922,-10.7071,1.0000
1296.387,-10.7076,1.0000
1297.852,-10.7082,1.0000
1299.316,-10.7090,1.0000
1300.781,-10.7100,1.0000
1302.246,-10.7112,1.0000
1303.711,-10.7125,1.0000
1305.176,-10.7138,1.0000
1306.641,-10.7152,1.0000
1308.105,-10.7166,1.0000
1309.570,-10.7181,1.0000
1311.035,-10.7197,1.0000
1312.500,-10.7213,1.0000
1313.965,-10.7230,1.0000
1315.430,-10.7246,1.0000
1316.895,-10.7264,1.0000
1318.359,-10.7281,1.0000
1319.824,-10.7299,1.0000
1321.289,-10.7317,1.0000
1322.754,-10.7335,1.0000
1324.219,-10.7353,1.0000
1325.684,-10.7371,1.0000
1327.148,-10.7389,1.0000
1328.613,-10.7407,1.0000
1330.078,-10.7425,1.0000
1331.543,-10.7442,1.0000
1333.008,-10.7461,1.0000
1334.473,-10.7479,1.0000
1335.938,-10.7496,1.0000
1337.402,-10.7514,1.0000
1338.867,-10.7531,1.0000
1340.332,-10.7548,1.0000
1341.797,-10.7564,1.0000
1343.262,-10.7580,1.0000
1344.727,-10.7594,1.0000
1346.191,-10.7609,1.0000
1347.656,-10.7623,1.0000
1349.121,-10.7636,1.0000
1350.586,-10.7648,1.0000
1352.051,-10.7659,1.0000
